Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
20,Pretty Jules Steiner Bebe.,http://auctions.morphyauctions.com/Pretty_Jules_Steiner_Bebe_-LOT449359.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190770_1_sm.jpeg,3,600,1408,1200,1800,18190770_
1925,Fabulous All-Bisque Mignonnette Doll.,http://auctions.morphyauctions.com/Fabulous_All_Bisque_Mignonnette_Doll______________-LOT175323.aspx,https://auctions.morphyauctions.com/ItemImages/000175/175323a_sm.jpeg,1,250,1416,1000,1500,175323a_
2261,Early Steiner Gigoteur Doll.,http://auctions.morphyauctions.com/Early_Steiner_Gigoteur_Doll_______________________-LOT168814.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168814a_sm.jpeg,3,200,1416,800,1200,168814a_
2060,Musical Mechanical Game Toy.,http://auctions.morphyauctions.com/Musical_Mechanical_Game_Toy_______________________-LOT175309.aspx,https://auctions.morphyauctions.com/ItemImages/000175/175309a_sm.jpeg,1,500,1416,2000,3000,175309a_
3251,Rare Singing Heubach Character Doll.,http://auctions.morphyauctions.com/Rare_Singing_Heubach_Character_Doll_______________-LOT93268.aspx,https://auctions.morphyauctions.com/ItemImages/000093/93268a_sm.jpeg,3,225,1416,900,1200,93268a_
2296,Wonderful French All-Bisque Mignonnette.,http://auctions.morphyauctions.com/Wonderful_French_All_Bisque_Mignonnette___________-LOT168497.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168497a_sm.jpeg,1,200,1416,800,1200,168497a_
3511,Early Kestner Child Doll.,http://auctions.morphyauctions.com/Early_Kestner_Child_Doll__________________________-LOT87475.aspx,https://auctions.morphyauctions.com/ItemImages/000087/87475a_sm.jpeg,3,300,1416,1200,1600,87475a_
3510,Lovely Belton Style Child Doll.,http://auctions.morphyauctions.com/Lovely_Belton_Style_Child_Doll____________________-LOT87462.aspx,https://auctions.morphyauctions.com/ItemImages/000087/87462a_sm.jpeg,4,300,1416,1200,1800,87462a_
2295,Mechanical Pull Acrobat Toy.,http://auctions.morphyauctions.com/Mechanical_Pull_Acrobat_Toy_______________________-LOT175320.aspx,https://auctions.morphyauctions.com/ItemImages/000175/175320a_sm.jpeg,1,375,1416,1500,2500,175320a_
3829,Early Clown Balancing Ball Automaton.,http://auctions.morphyauctions.com/Early_Clown_Balancing_Ball_Automaton______________-LOT76383.aspx,https://auctions.morphyauctions.com/ItemImages/000076/76383a_sm.jpeg,3,250,1416,1000,1500,76383a_
253,Beautiful French Fashion Doll Attributed to Jumeau.,http://auctions.morphyauctions.com/Beautiful_French_Fashion_Doll_Attributed_to_Jumeau-LOT287663.aspx,https://auctions.morphyauctions.com/ItemImages/000287/18070834_1_sm.jpeg,9,750,1440,1500,2000,18070834_
1648,"19"" Kestner Gibson Girl.",http://auctions.morphyauctions.com/19__Kestner_Gibson_Girl___________________________-LOT203772.aspx,https://auctions.morphyauctions.com/ItemImages/000203/203772a_sm.jpeg,2,225,1440,900,1500,203772a_
1020,Clockwork French Rolette Dechamps.,http://auctions.morphyauctions.com/Clockwork_French_Rolette_Dechamps__-LOT235980.aspx,https://auctions.morphyauctions.com/ItemImages/000235/16241080_1_sm.jpeg,18,175,1440,750,1250,16241080_
3388,Dramatic Simon & Halbig 929 Child Doll.,http://auctions.morphyauctions.com/Dramatic_Simon___Halbig_929_Child_Doll____________-LOT92019.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92019a_sm.jpeg,3,500,1440,2000,3000,92019a_
109,Lot of 2: Closed Mouth All Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Closed_Mouth_All_Bisque_Dolls_-LOT449411.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190802_1_sm.jpeg,18,400,1440,800,1200,18190802_
555,Lot of 2: German Papier-Mâché Dolls.,http://auctions.morphyauctions.com/Lot_of_2__German_Papier_M_ch__Dolls_-LOT249331.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16320963_1_sm.jpeg,13,100,1440,400,600,16320963_
509,Early All-Bisque Kestner Doll.,http://auctions.morphyauctions.com/Early_All_Bisque_Kestner_Doll_-LOT246228.aspx,https://auctions.morphyauctions.com/ItemImages/000246/16320435_1_sm.jpeg,14,250,1440,1000,1500,16320435_
1765,Lot of 3: Wigged Bathing Beauties.,http://auctions.morphyauctions.com/Lot_of_3__Wigged_Bathing_Beauties_________________-LOT189895.aspx,https://auctions.morphyauctions.com/ItemImages/000189/189895a_sm.jpeg,2,250,1440,1000,1500,189895a_
