Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
229,"""14"""" Fashion Doll Attributed to F.G..""",http://auctions.morphyauctions.com/14__Fashion_Doll_Attributed_to_F_G__-LOT287671.aspx,https://auctions.morphyauctions.com/ItemImages/000287/18070835_1_sm.jpeg,10,500,1080,1000,1500,18070835_
277,Attractive Phoenix Bebe.,http://auctions.morphyauctions.com/Attractive_Phoenix_Bebe_-LOT287496.aspx,https://auctions.morphyauctions.com/ItemImages/000287/18070765_1_sm.jpeg,3,900,1080,1800,2500,18070765_
413,Lot of 2: All Bisque Children Attributed to Kestner.,http://auctions.morphyauctions.com/Lot_of_2__All_Bisque_Children_Attributed_to_Kestne-LOT260333.aspx,https://auctions.morphyauctions.com/ItemImages/000260/17140100_1_sm.jpeg,5,125,1080,500,750,17140100_
361,Early Kestner Doll In Frame.,http://auctions.morphyauctions.com/Early_Kestner_Doll_In_Frame_-LOT260343.aspx,https://auctions.morphyauctions.com/ItemImages/000260/17140109_1_sm.jpeg,21,125,1080,500,750,17140109_
151,French All Bisque Mignonette Boy Doll.,http://auctions.morphyauctions.com/French_All_Bisque_Mignonette_Boy_Doll_-LOT449083.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190747_1_sm.jpeg,14,400,1080,800,1200,18190747_
3631,Primitive Cloth Doll.,http://auctions.morphyauctions.com/Primitive_Cloth_Doll______________________________-LOT83749.aspx,https://auctions.morphyauctions.com/ItemImages/000083/83749a_sm.jpeg,3,75,1080,300,500,83749a_
111,Lot of 2: Small German Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Small_German_Dolls_-LOT449415.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190806_1_sm.jpeg,16,350,1080,700,1000,18190806_
3636,Early Queen Anne Wood Lady Doll.,http://auctions.morphyauctions.com/Early_Queen_Anne_Wood_Lady_Doll___________________-LOT83747.aspx,https://auctions.morphyauctions.com/ItemImages/000083/83747a_sm.jpeg,2,500,1080,2000,4000,83747a_
1975,Pretty Jumeau Bébé Doll.,http://auctions.morphyauctions.com/Pretty_Jumeau_B_b__Doll___________________________-LOT168486.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168486a_sm.jpeg,2,500,1080,2000,3000,168486a_
243,Kammer & Reinhardt 117 Doll.,http://auctions.morphyauctions.com/Kammer___Reinhardt_117_Doll_-LOT287499.aspx,https://auctions.morphyauctions.com/ItemImages/000287/18070768_1_sm.jpeg,9,500,1080,1000,1500,18070768_
1070,Rare Heubach Baby Stuart.,http://auctions.morphyauctions.com/Rare_Heubach_Baby_Stuart__________________________-LOT230016.aspx,https://auctions.morphyauctions.com/ItemImages/000230/230016a_sm.jpeg,2,375,1080,1500,2500,230016a_
3385,Dainty Belton Style Child Doll.,http://auctions.morphyauctions.com/Dainty_Belton_Style_Child_Doll____________________-LOT87469.aspx,https://auctions.morphyauctions.com/ItemImages/000087/87469a_sm.jpeg,4,200,1080,800,1200,87469a_
